word,phonetic,translation,exchange,derivatives,collins,frq,tag
participate,pɑ:'tisipeit,"vi. 参加, 分享, 参与, 带有 / vt. 分享, 分担",i:participating/p:participated/d:participated/3:participates,"participated,participates,participating,participative,participator",3,1482,gk cet4 cet6 ky toefl ielts
participating,,"a. 由多人一起参加的, 由多方一起参加的, 股票使持有人有权参与分享的",0:participate/1:i/i:participating,,,8964,
participation,.pɑ:tisi'peiʃәn,"n. 参与, 分享 / [经] 参与, 参股",s:participations,"participational,participations",,2214,
participative,pɑ:'tɪsɪpeɪtɪv,"a. 参与的, （尤指经营管理上）下级职员参与决策的",,,,28797,
participatory,pɑ:'tisipeitәri,"a. 吸引参与的, 供人分享的",,,,12949,
participle,'pɑ:tisipl,n. 分词,s:participles,"participled,participles",,31634,
particle,'pɑ:tikl,"n. 颗粒, 粒子, 质点, 极小量 / [化] 粒子; 质点",s:particles,particles,2,3683,cet4 cet6 ky toefl ielts
particular,pә'tikjulә,"n. 一项(或条、点), 个别项目, 详细说明 / a. 特别的, 独有的, 挑剔的, 详尽的",,"particularise,particularism,particularist,particularity,particularize,particularly,particulars",4,948,gk cet4 cet6 ky gre
particularism,pә'tikjulәrizәm,"n. 完全忠于一种理论, 特殊神宠论",s:particularisms,particularisms,,28898,
particularistic,,特殊主义的,,,,31431,
particularity,pә.tikju'læriti,"n. 特殊性, 特质, 个性, 细致, 苛求",s:particularities,particularities,,17808,
particularize,pә'tikjulәraiz,"v. 详细说明, 列举, 使特殊",d:particularized/i:particularizing/p:particularized/3:particularizes,"particularization,particularized,particularizer,particularizes,particularizing",,35126,gre
particularly,pә'tikjjlәli,"adv. 特别, 格外, 尤其, 详细地, 细致地",,,4,781,cet4 cet6
particulars,,"n. 细节, 详细情况, 详情 / [经] 细节, 摘要",s:particulars/0:particulars/1:s,,,12233,
particulate,pә'tikjulit,n. 微粒 / a. 微粒的,s:particulates,"particulated,particulates",,15530,toefl
parties,,n. 当事人；聚会；党派；政党机关；同行者（party的复数）,0:party/1:s,,,0,ielts
parting,'pɑ:tiŋ,"n. 告别, 分歧处, 分界点 / a. 离别的, 逝去的, 分隔的",0:part/1:i/i:parting/s:partings,partings,1,13652,
partisan,'pɑ:tizn,"n. 党羽, 虔诚信徒, 同党, 游击队员 / a. 党派的, 偏袒的, 效忠的, 献身的, 盲目推崇的",s:partisans,"partisans,partisanship",1,6222,toefl ielts gre
partisanship,'pɑ:tәznʃip,"n. 党派性, 党派偏见, 对党派的忠诚",s:partisanships,partisanships,,13603,
partition,pɑ:'tiʃәn,"n. 分割, 隔离物, 隔墙, 财产分割 / vt. 区分, 瓜分, 隔开, 分割 / [计] 分区; 划分",d:partitioned/s:partitions/i:partitioning/3:partitions/p:partitioned,"partitioned,partitioner,partitioning,partitionism,partitionist,partitionment,partitions",1,9717,cet6 ielts gre
partitioning,,"[计] 分块, 分割, 分区, 划分 / [化] 分隔",0:partition/1:i/i:partitioning,,,25748,
partly,'pɑ:tli,"adv. 部分地, 在一定程度上",,,3,2824,gk cet4 cet6 ky
partner,'pɑ:tnә,"n. 合伙人, 股东, 伙伴, 伴侣 / vt. 与...合伙, 组成一对 / vi. 做伙伴, 当助手",s:partners/i:partnering/d:partnered/p:partnered/3:partners,"partnered,partnering,partnerless,partners,partnership",4,1048,gk cet4 cet6 ky
partnership,'pɑ:tnәʃip,"n. 合伙, 合股, 合作关系 / [经] 合伙(合作)关系, 全体合伙人",s:partnerships,partnerships,3,2912,
partridge,'pɑ:tridʒ,"n. 鹧鸪, 山鹑",s:partridges,partridges,,20207,
parturition,.pɑ:tjuә'riʃәn,"n. 分娩, 生产 / [医] 分娩, 生产",s:parturitions,parturitions,,45949,gre
party,'pɑ:ti,"n. 宴会, 党, 政党, 团体, 当事人, 聚会 / v. 举办聚会",s:parties/i:partying/p:partied/3:parties/d:partied,"partial,partied,partier,parties,partition,partyer,partying,partyism",5,351,zk gk toefl ielts
party line,,[计] 合用线,,,1,0,
party political,ˈpɑ:ti pəˈlitikəl,a. 政党的；党派政治的,,,1,0,
party politics,ˈpɑ:ti ˈpɔlitiks,n. 党派政治,,,1,0,
partying,'pɑ:ti:ɪŋ,v. 为…举行社交聚会（party的现在分词形式）,i:partying/0:partying/1:i,,,28020,
pas,pɑ:,"n. 优先权, 舞步, 舞 / [化] 光声谱法; 光声光谱法",,"paser,pases,passed,passing,passion",,30717,
paschal,'pæskәl,"a. 逾越节的, 复活节的",,,,32891,
pasha,'pɑ:ʃә,n. 帕夏,s:pashas,pashas,,22992,
pass,pæs,"n. 经过, 要隘, 途径, 通行, 护照, 及格 / vt. 经过, 越过, 通过, 批准, 度过, 传递, 忽略 / vi. 经过, 变化, 流通, 及格, 宣判, 终止, 消逝, 被忽略, 不叫牌, 传递 / [计] 遍",d:passed/p:passed/i:passing/3:passes/s:passes,"passable,passant,passed,passer,passes,passible,passing,passive",5,441,zk gk ielts
passable,'pæsәbl,"a. 可通行的, 可渡过的, 尚可的, 可流通的",,passableness,,21468,
passage,'pæsidʒ,"n. 通道, 通过, 移居, 航行, 一段, 走廊 / vi. 通过, 经过, 航行, 横渡, 争吵 / vt. (使)马以斜横步前进, 使传代",s:passages,"passageable,passager,passages,passaging",3,2210,zk gk toefl ielts
passageway,'pæsidʒwei,"n. 通道, 走廊",s:passageways,passageways,1,12440,
passbook,'pæsbuk,"n. 存款簿, 银行存折",s:passbooks,passbooks,,32633,
passe,,"a. 已过盛年的, 雕落的, 已过青春妙龄的, 过时的, 老式的, 陈旧的, 落伍的",,"passable,passant,passed,passement,passer,passes,passible,passing",,20419,
passel,'pæsәl,"n. 一批, 一群",,,,28877,
passenger,'pæsindʒә,"n. 乘客, 旅客 / [经] 乘客, 旅客",s:passengers,passengers,3,2080,zk gk cet4 cet6 ky
passengers,'pæsndʒɚ,n. 乘客( passenger的名词复数 ); 旅客; 白吃饭的人; 闲散人员,0:passenger/1:s,,,0,ielts
passer,'pæsә,"n. 过路人, 旅客, 考试合格者, 检查合格证 / [化] 成品检查员",s:passers,passers,,14540,
passer-by,'pɑ:sə baɪ,n. 过路人; 经过者,,,1,0,
passerby,'pæsә'bai,"n. 过路人, 行人",,,,0,ky
passim,'pæsim,"adv. 到处, 处处 / [法] 各处, 遍及",,,,31320,
passing,'pæsiŋ,"n. 通过, 逝去, 死, 流逝 / a. 经过的, 流逝的, 目前的, 短暂的, 及格的, 仓促的",0:pass/1:i/i:passing,"passingly,passings",2,4350,
passion,'pæʃәn,"n. 激情, 酷爱, 热爱, 强烈感情, 耶稣受难(故事)",s:passions,"passional,passioned,passionful,passioning,passionist,passionless,passions",3,2283,cet4 cet6 ky toefl ielts
passionate,'pæʃәnit,"a. 热情的, 热烈的, 易怒的, 热恋的",,"passionately,passionateness",2,5175,toefl gre
passionately,'pæʃənətlɪ,"adv. 热情地, 激昂地",,,,10112,
passive,'pæsiv,"a. 消极的, 被动的, 冷漠的, 顺从的, 无源的 / [医] 被动的",s:passives,"passivant,passivation,passively,passiveness,passives,passivism,passivist,passivity",2,5680,gk cet4 cet6 ky toefl ielts gre
passively,,"adv. (贬)被动, 守势, 受动, (贬)消极, 不抵抗, 驯服, 钝性, 无源, 钝态, 无利息",,,,15929,
passivity,pæ'siviti,"n. 被动, 被动性, 无抵抗, 钝性, 被动结构 / [化] 钝态",,,,16036,
Passover,'pæs.әuvә,n. 逾越节,,,,14149,
passport,'pæspɒ:t,"n. 护照, 手段, 通行证 / [法] 通行证, 护照",s:passports,"passported,passports",2,6239,zk gk ielts
password,'pæswә:d,"n. 密码, 口令, 通行手段 / [计] 口令",s:passwords,"passworded,passwording,passwords",,10041,
past,pɑ:st,"n. 过去, 昔时, 往事, 早年经历, 过去时 / a. 过去的, 结束的, 卸任的, 过去时的 / prep. 越过, 晚于, 超越, 超出...的可能性(能力、范围等) / pass的过去分词",,"pasted,paster,pasting,pastist,pastness,pastor,pasts",5,680,zk gk
pasta,'pæstә,"n. 意大利面食 / [医] 糊剂, 泥膏剂",s:pastas,pastas,2,4497,
paste,peist,"n. 面团, 面食, 浆糊, 糊状物, 粘贴, 用拳重击 / vt. 用浆糊粘, 张贴, 狠狠地打 / [计] 粘贴",d:pasted/s:pastes/p:pasted/i:pasting/3:pastes,"pasted,paster,pastes,pasting,pastist,pastness,pastor",1,7619,cet4 cet6 ky
pastel,pæ'stel,"n. 粉蜡笔, 粉蜡笔画, 随笔 / a. 彩色蜡笔的, 蜡笔画的, 柔和的, 纤弱的",s:pastels,"pastelist,pastels",1,7966,toefl gre
pasteurization,",pæstәrai'zeiʃәn","n. 巴氏灭菌法, 低热灭菌 / [医] 巴氏消毒法, 低热消毒法",,,,30638,
pasteurize,'pæstәraiz,vt. 用巴氏法灭菌 / [医] 施行巴氏消毒,d:pasteurized/i:pasteurizing/p:pasteurized/3:pasteurizes,"pasteurization,pasteurized,pasteurizer,pasteurizes,pasteurizing",,32932,gre
pasteurized,ˈpɑ:stəraɪzd,a. （牛奶等）巴氏消毒的 / v. 用巴氏灭菌法对（牛奶等）消毒（灭菌）( pasteurize的过去式和过去分词 ),0:pasteurize/1:dp,,,32966,
pastiche,pæs'ti:ʃ,"n. 模仿作品, 东拼西凑的杂烩",,pastiches,1,23731,gre
pastime,'pæstaim,"n. 消遣, 娱乐, 游戏",s:pastimes,pastimes,1,11138,cet4 cet6 ky ielts
pastor,'pæstә,n. 牧师,s:pastors,"pastoral,pastored,pastoring,pastorless,pastorly,pastors,pastorship",1,3850,gre
pastoral,'pæstәrәl,"n. 牧歌, 田园诗 / a. 牧人的, 田园生活的, 牧师的, 田园式的",s:pastorals,"pastoralism,pastoralist,pastorally,pastorals",1,7257,gre
pastoralist,,"n. 田园诗的作者, 田园剧的作者, 放牧者, 畜牧者",s:pastoralists,pastoralists,,30279,
pastrami,pә'strɑ:mi,n. 五香烟熏牛肉,,,,25682,
pastry,'peistri,"n. 油酥点心, 面粉糕饼",s:pastries,pastries,2,6315,gre
pasture,'pæstʃә,"n. 牧场, 草地, 牧草 / vt. 放牧 / vi. 吃草",s:pastures/d:pastured/i:pasturing/p:pastured/3:pastures,"pasturable,pastured,pasturer,pastures,pasturing",1,6330,cet6 ky toefl ielts
pastureland,'pɑ:stʃәlænd;'pæs-,n. 牧场,s:pasturelands,pasturelands,,29555,
pasty,'peisti. 'pæsti,"a. 面糊似的, (脸色)苍白的, 软弱的 / n. 肉馅饼",s:pasties,"pastier,pasties,pastiness",,25359,
pat,pæt,"n. 轻拍 / v. 轻拍 / adv. 适时, 正好, 恰好, 毫不迟疑, 熟记地 / a. 恰好的, 合适的, 熟练的, 坚定的, 人为的",p:patted/i:patting/3:pats/d:patted/s:pats,"pated,patent,pater,patise,patly,patness,pats,patted",2,4539,cet4 cet6 ky
patch,pætʃ,"n. 片, 补缀, 碎片, 斑, 傻瓜 / vt. 补缀, 掩饰, 拼凑, 平息 / [计] 修补; 拼凑",s:patches/d:patched/i:patching/p:patched/3:patches,"patched,patcher,patches,patching",2,3316,cet4 cet6 ky toefl ielts gre
patched,,a. 打补丁的,0:patch/1:dp/d:patched/p:patched,,,26696,
patchouli,'pætʃuli(:),[医] 绿叶刺蕊草,s:patchouli/0:patchouli/1:s,,,32357,
patchwork,'pætʃwә:k,"n. 拼缝物, 拼凑物",s:patchworks,patchworks,1,12752,
patchy,'pætʃi,"a. 补缀的, 凑合的, 不调和的, 散落的, 斑驳的, 不完全的",r:patchier,"patchier,patchily,patchiness",1,20935,
pate,peit,"n. 头, 脑袋, 头脑 / [医] 头盖(旧名)",s:pates,"pated,patent,pater,pates,patise,patly,patness",1,18699,
patella,pә'telә,"n. 膝盖骨, 髌骨 / [医] 髌, 膝盖骨; 吸跗节(昆虫)",,patellas,,31407,
patent,'pætnt. 'peitnt,"n. 专利权, 许可证, 执照, 专利品, 素质 / a. 专利的, 特许的, 显著的, 新奇的 / vt. 取得...的专利权, 请准专利",s:patents/d:patented/p:patented/i:patenting/3:patents,"patentable,patented,patenting,patently,patentor,patents",2,4405,gk cet6 ky toefl ielts gre
patentable,,"a. 可给予专利权的, 可取得专利证的, 可给予专利证的, 可取得专利权的 / [法] 可给予专利权的, 可以取得专利的",,,,32629,
patented,'peitәntid,a. 专利的,0:patent/1:dp/p:patented/d:patented,,,17452,
patently,'peitntli,"adv. 明显地, 公然地",,,,16413,
pater,'peitә,n. 父亲,s:paters,paters,,31114,
paternal,pә'tә:nl,"a. 父亲的, 父系的, 似父亲的, 得自父亲的, 家长式统治的 / [法] 父系的, 父亲的",,"paternalism,paternalist,paternalize,paternally",1,12688,ky
paternalism,pә'tә:nәlizm,"n. 家长式作风, 家长式统治 / [经] 家长作风",,,,20972,
paternalistic,pә.tә:nә'listik,a. 家长式作风的,,,,19904,
paternity,pә'tә:niti,"n. 父亲身份, 父系血统, 创始人(身份), 来源, 出处 / [医] 父权, 亲权; 父系",,,,13970,ielts
path,pɑ:θ,"n. 路径, 小路, 道路, 途径, 路线, 轨道 / [计] 路径; DOS内部命令:设定DOS读取程序的路径",s:paths,"pathed,pathic,pathing,pathless,paths",3,1336,zk gk cet4 cet6 ky toefl
pathetic,pә'θetik,"a. 悲哀的, 可怜的, 感伤的, 差劲的 / [医] 感情的",s:pathetics,"pathetical,pathetics",2,7927,cet6 ky ielts gre
pathetically,pә'θetikli,"adv. 悲哀地, 哀伤地, 感伤地",,,,22391,
pathfinder,'pɑ:θfaindә(r),"n. 探路者, 开拓者, 探索者, 导航人员, 导航飞机, 导航雷达 / [化] 维修指南",s:pathfinders,pathfinders,,33263,
pathogen,'pæθәdʒ(ә)n,n. 病原体 / [医] 病原体,s:pathogens,"pathogenic,pathogens",,8637,toefl gre
pathogenesis,",pæθә'dʒenisis","n. 致病, 发病 / [医] 发病机理",,,,26244,
pathogenic,.pæθә'dʒenik,"a. 致病的, 成为病原的, 病原的 / [医] 致病的, 病原的",,pathogenicity,,21077,
pathologic,",pæθә'lɔdʒik","a. 病理学的, 由疾病引起的, (非正式)不合理的, 仅由想象引起的, 不理智的 / [医] 病理的",,pathological,,25616,
pathological,",pæθә'lɔdʒikәl","a. 病理学的, 由疾病引起的, (非正式)不合理的, 仅由想象引起的, 不理智的 / [计] 错误的",s:pathologicals,"pathologically,pathologicals",1,13390,gre
pathologically,ˌpæθə'lɒdʒɪklɪ,adv. 病理学地; 由疾病引起地; 莫名其妙地; 反常地,,,,30458,
pathologist,pæ'θɒlәdʒist,n. 病理学家 / [医] 病理学家,s:pathologists,pathologists,,11711,
pathology,pæ'θɒlәdʒi,"n. 病理学, 病理, 病状, 病变 / [医] 闰理学",s:pathologies,pathologies,1,10141,gre
pathos,'peiθɒs,"n. 伤感力, 感伤, 悲怅, 同情, 偶然因素, 哀婉动人的词句",,,1,17870,ielts gre
pathway,'pɑ:θwei,"n. 路径, 途径 / [医] 路径, 道",s:pathways,pathways,1,6559,toefl
patience,'peiʃәns,"n. 耐性, 忍耐",,,2,4177,gk cet4 cet6 ky toefl
patient,'peiʃәnt,"n. 病人, 承受者 / a. 忍耐的, 容忍的, 有耐性的, 坚忍的",s:patients,"patienthood,patientless,patiently,patients",4,572,zk gk cet4 cet6 ky
patiently,'peiʃәntli,adv. 耐心地；有毅力地,,,,8234,
patients,,n. 病人（patient的复数形式）,0:patient/1:s,,,0,ielts
patina,'pætinә,"n. 绿锈, 光泽, 古色, 神态, 圣餐盘 / [机] 铜绿",s:patinas,"patinas,patination",,17560,gre
patio,'pɑ:tiәu,n. 屋子与花园之间的一片供晴天休息用的石砌空地,s:patios,patios,1,6874,
patisserie,pә'ti:sәri,"n. 法式糕点, 法式糕点铺",,patisseries,,32607,
patois,'pætwɑ:,"n. 方言, 行话",,,,29725,
patriarch,'peitriɑ:k,"n. 创办人, 家长, 元老, 教长, (天主教)教皇 / [法] 家长, 族长, 创始人",s:patriarchs,"patriarchal,patriarchic,patriarchism,patriarchship",1,10741,toefl
patriarchal,.peitri'ɑ:kәl,"a. 家长的, 族长的, 由族长统治的 / [法] 家长的, 家长制的, 主教的",,patriarchalism,1,10205,toefl
patriarchate,'peitriɑ:kәt,n. 主教的职权,s:patriarchates,patriarchates,,31251,
patriarchy,'peitriɑ:ki,"n. 家长统治, 父权制, 男性政体 / [法] 家长制, 父权制, 父系社会",,patriarchies,1,14962,
patrician,pә'triʃәn,"n. 贵族, 有教养的人 / a. 贵族的, 显贵的",s:patricians,"patricianism,patricians",1,20209,gre
patricide,'pætrisaid,"n. 杀父(罪), 杀父者 / [法] 杀父, 杀父者",,"patricidal,patricides",,0,toefl
patrilineal,.pætri'liniәl,"a. 父系的, 父子相传的 / [医] 父系的",,patrilineally,,26793,
patrimony,'pætrimәni,"n. 祖传的财物, 继承物 / [经] 世袭财产, 遗产",s:patrimonies,"patrimonial,patrimonies",,22150,gre
patriot,'peitriәt,"n. 爱国者, 爱国主义者",s:patriots,"patriotic,patriotism,patriots",2,10621,cet6 toefl gre
patriotic,.peitri'ɒtik,"a. 爱国的, 有爱国心的 / [法] 爱国的, 有爱国心的",,patriotics,,7633,cet6 ky toefl
patriotism,'peitriәtizm,"n. 爱国心, 爱国精神, 爱国主义",,,1,8126,ielts gre
patristic,pә'tristik,"a. 教父的, 教父著作研究的",s:patristics,"patristical,patristics",,24390,
patrol,pә'trәul,"n. 巡逻, 巡逻员, 侦察队 / v. 巡逻, 巡视",s:patrols/i:patrolling/p:patrolled/d:patrolled/3:patrols,"patroling,patrolled,patrolling,patrols",2,4183,cet6 ky toefl ielts
patroller,,巡警,,,,26534,toefl
patrolman,pә'trәulmәn,"n. 巡视者, 巡逻者, 巡警 / [法] 巡逻人, 巡逻警察",s:patrolmen,,,18748,
patron,'peitrәn,"n. 赞助人, 顾客, 保护人 / [法] 保护人, 庇护人, 赞助人",s:patrons,"patronal,patronise,patronize,patronless,patrons",2,4665,cet6 ky toefl ielts
patronage,'pætrәnidʒ,"n. 赞助, 恩赐态度, 光顾, 任免权, 保护人的身分 / [经] 光顾, 资助, 赞助",s:patronages,patronages,1,10066,toefl gre
patronize,'peitrәnaiz,"vt. 保护, 支援, 赞助, 庇护, 惠顾",d:patronized/p:patronized/i:patronizing/3:patronizes,"patronization,patronized,patronizer,patronizes,patronizing",1,16199,gre
patronizing,'peitrәnaiziŋ,"a. 屈尊俯就的, 显示优越感的",0:patronize/1:i/i:patronizing,patronizingly,1,16705,toefl
patsy,'pætsi,"n. 容易受骗的人, 懦夫, 替罪羊",s:patsies,patsies,,19274,
patter,'pætә,"n. 急速拍打声, 轻快脚步声, 行话, 快板, 饶舌 / vi. 急速地说, 滴答地响, 祷告, 念经, 念顺口溜 / vt. 使发嗒嗒声, 喋喋不休地说",p:pattered/i:pattering/s:patters/d:pattered/3:patters,"pattered,patterer,pattering,patters",1,19162,
pattern,'pætәn,"n. 模范, 典型, 式样, 样品, 图案, 格调, 模式 / vt. 模仿, 仿造, 以图案装饰 / vi. 形成图案 / [计] 模式, 图案",s:patterns/i:patterning/p:patterned/3:patterns/d:patterned,"patterned,patterning,patternize,patternless,patterns",4,1017,gk cet4 cet6 ky ielts
patterned,,a. 被组成图案的,d:patterned/0:patterned/1:dp/p:patterned,,1,11412,
patterning,'pætәniŋ,"n. 图案结构, 特有型式, 图形",0:pattern/1:i/i:patterning/s:patternings,patternings,,25089,
patterns,,n. 模式（pattern的复数形式）,0:pattern/1:s,,,0,ielts
patty,'pæti,n. 小馅饼,s:patties,patties,,12317,
paucity,'pɒ:sәti,"n. 少数, 少量, 缺乏",,,,16637,toefl gre
paunch,pɒ:ntʃ,"n. 腹部, 瘤胃, 大肚子 / vt. 剖腹, 取出内脏, 使...的肚子受伤",s:paunches,"paunched,paunches,paunching",,24134,
paunchy,'pɒ:ntʃi,"a. 大肚子的, 大腹便便的",,"paunchier,paunchiness",,32235,gre
pauper,'pɒ:pә,"n. 贫民, 靠救济度日者, 穷人, 乞丐 / [法] 贫民, 穷人",s:paupers/d:paupered,"paupered,pauperise,pauperism,pauperize,paupers",,21664,toefl gre
pause,pɒ:z,"n. 暂停, 中止, 停顿, 间歇, 踌躇, 休止符 / vi. 暂停, 中止, 停顿, 踌躇 / [计] DOS内部命令:暂时停止批处理文件的执行",p:paused/i:pausing/s:pauses/3:pauses/d:paused,"pausal,paused,pauser,pauses,pausing",3,2777,gk cet4 cet6 ky
pave,peiv,"vt. 铺设, 安排, 铺满, 为...铺路 / [化] 铺设",d:paved/i:paving/p:paved/3:paves,"paved,pavement,paver,paves,paving,pavise,pavor",2,7086,cet4 cet6 ky toefl ielts
paved,peivd,v. 铺( pave的过去式和过去分词 ); 为…铺平道路,0:pave/1:dp/d:paved,,,12272,
pavement,'peivmәnt,"n. 路面, 人行道, 铺面路, 铺路材料",s:pavements,"pavemented,pavementing,pavements",2,6540,cet4 cet6 ky ielts
pavilion,pә'viljәn,"n. 楼阁, 亭子, 大帐篷, 观众席 / vt. 置...于亭中, 搭帐篷, 笼罩",s:pavilions,"pavilioned,pavilioning,pavilions",1,11779,
paving,'peiviŋ,"n. 铺筑过的地面, 铺过的道路, 铺筑过的路, 修筑路面/地面的材料",0:pave/1:i/i:paving/s:pavings,pavings,,17915,
paw,pɒ:,"n. 爪 / v. 以蹄扒地, 用爪子抓, 拼命抓, 向...乱抓, 笨拙地使用, 费力地前进",s:paws/i:pawing/p:pawed/d:pawed/3:paws,"pawed,pawer,pawing,paws",1,8033,cet4 cet6 ky
pawn,pɒ:n,"n. 典当, 抵押物, 人质, (象棋)兵, 马前卒, 工具 / vt. 当掉, 以...担保",s:pawns/p:pawned/i:pawning/d:pawned/3:pawns,"pawned,pawner,pawning,pawnor,pawns",1,12632,gre
pawnshop,'pɒ:nʃɒp,n. 当铺 / [经] 当铺,s:pawnshops,pawnshops,,24487,
PAX,pæks,"n. 圣像牌, (大弥撒中的)接吻礼, 和平女神 / interj. 算了吧 / [计] 内部自动变换机; 专用自动交换机",,,,23135,
pay,pei,"n. 薪资, 付款, 补偿 / vt. 支付, 付清, 补偿, 偿还, 对...有利, 为...涂防水物 / vi. 付款, 付出代价, 偿还, 得到报应, 获得好处",d:paid/i:paying/p:paid/3:pays,"payable,payed,payer,paying,payment,payor,pays",5,286,zk gk ielts
pay attention,,专心,,,,0,
payable,'peiәbl,"a. 可付的, 到期的, 应付的, 有利益的 / [经] 应付的",s:payables,payables,1,18260,ielts
payback,,[经] 报酬率,s:paybacks,paybacks,,13705,
paycheck,'pei'tʃek,"n. 付薪水的支票, 薪水",,paychecks,,7665,toefl
payday,,"n. 发薪日, 发工资日, 交割日, 过户结帐日 / [法] 发薪日",,,,15829,
payer,'peiә,"n. 支付者, 付款人 / [经] 付款人",s:payers,payers,1,15013,
paying,'peiiŋ,"a. 支付的, 付款的, 有利的, 赢利的, 合算的 / [经] 支付",0:pay/1:i/i:paying,,,13994,
payload,'peilәud,"n. 商务载重, 工资负担, 净载重量, 有效负荷, 弹头 / [化] 负荷量",s:payloads,"payloader,payloads",,14356,
payment,'peimәnt,"n. 付款, 支付的款项(或实物), 偿还, 报应, 惩罚 / [经] 支付, 缴纳, 支付款额",s:payments,payments,4,2106,cet4 cet6 ky toefl ielts
payoff,'peiɒf,"n. 发工资, 分赃, 贿赂, 盈利, 报酬, 报应, 结果, 高潮, 决定因素 / a. 决定性的, 产生结果的, 支付的",s:payoffs/3:payoffs,payoffs,1,7645,cet6
payout,'pei'aut,"n. 支出, 付出款项 / [经] 付出款项, 花费, 支出",s:payouts,payouts,1,13355,
payphone,ˈpeɪfəʊn,n. 公用电话; 付费电话,s:payphones,payphones,,31074,
payroll,'peirәul,"n. 工资名单, 饷金名单, 发放的工资总额 / [计] 工资表, 工资单",s:payrolls,"payroller,payrolls",1,5345,
PC,,"个人计算机 / [计] 外部控制, 个人计算机, 光电导体, 伪码",s:pcs,pcs,2,3053,
PDA,,[计] 个人数字助手,s:pdas,pdas,,16692,
PE,pei,[计] 相位编码 / [化] 磷脂酰乙醇胺,s:pes,"pal,pance,pant,peal,ped,peent,peer,peise",1,25507,
pea,pi:,"n. 豌豆, 似豌豆的东西",s:peas,"peaness,peas",2,5226,gk cet4 cet6 ky
peace,pi:s,"n. 和平, 和约, 治安, 和睦, 安宁, 静寂 / vi. 安静下来, 不作声",,"peaceable,peaceful,peaceless,peaces",5,933,zk gk cet4 ky
Peace Corps,,美国和平部队,,,1,0,
peaceable,'pi:sәbl,"a. 和平的, 太平的, 温顺的, 温和的, 平静的",,peaceableness,,24719,
peaceably,'pi:səblɪ,"adv. 息事宁人地; 和平地, 温和地",,,,28004,
peaceful,'pi:sful,"a. 平静的, 和平的, 和平时期的, 爱好和平的, 喜爱安静的 / [法] 和平的, 爱好和平的, 和平时期的",,"peacefully,peacefulness",3,3655,gk cet4 cet6 ky
peacefully,,adv. 平静地,,,1,9068,
peacefulness,'pi:sflnəs,"n. 平静, 宁静, 平和",,,,26586,
peacekeeper,"'pi:s,ki:pә(r)",n. (交战国间的)停火执行者(或小组),s:peacekeepers,peacekeepers,1,11145,
peacekeeping,"'pi:s,ki:piŋ","[法] 维护和平的, 执行停火协定的",0:peacekeep/1:i/i:peacekeeping,,2,11773,
peacemaker,'pi:smeikә,"n. 调解者, 和事佬",s:peacemakers,peacemakers,,17298,
peacemaking,"'pi:s,meikiŋ","n. 调解, 调停 / a. 调解的, 调停的",0:peacemake/1:i/i:peacemaking,,,30481,
peacetime,'pi:staim,"n. 平时时期, 和平",,,1,15080,
peach,pi:tʃ,"n. 桃子, 桃树, 桃色, 美人儿, 极好的事物 / vt. 告发 / vi. 告密, 检举",s:peaches/i:peaching/p:peached/3:peaches/d:peached,"peached,peacher,peaches,peachful,peaching",2,5531,gk cet4 cet6 ky
peachy,'pi:tʃi,"a. 桃似的, 桃色的, 出色的, 绝妙的",,,,31295,
peacock,'pi:kɒk,"n. 孔雀, 好炫耀的人 / vi. 炫耀, 神气活现地行走",s:peacocks/i:peacocking,"peacocking,peacocks",1,15411,cet6
peak,pi:k,"n. 山峰, 巅, 山顶, 顶点, 尖峰, 帽舌 / a. 最高的, 最大值的 / vi. 到达最高点, 消瘦, 变憔悴, 逐渐缩小 / vt. 使竖起, 使达到最高点",s:peaks/p:peaked/d:peaked/i:peaking/3:peaks,"peaked,peaker,peaking,peaks",3,2364,cet4 cet6 ky toefl gre
peaked,pi:kt,"a. 有帽舌的, 有尖端的, 消瘦的, 有病容的",0:peak/1:pd/p:peaked/d:peaked,peakedness,,26102,
peaky,'pi:ki,"a. 有峰的, 多峰的, 尖的, 消瘦的",,"peakier,peakiness",,0,gre
peal,pi:l,"n. 响亮持久的声音, 钟声 / vt. 使鸣响, 大声发出 / vi. 大声鸣响, 震响",s:peals/p:pealed/i:pealing/3:peals/d:pealed,"pealed,pealing,peals",,24513,
peanut,'pi:nʌt,"n. 花生, 小人物, 极小的数额 / a. 渺小的, 微不足道的",s:peanuts,peanuts,1,4627,ky
peanut butter,ˈpi:nʌt ˈbʌtə,n. 花生酱,,,1,0,
pear,pєә,"n. 梨子, 梨树, 梨木 / [机] 梨木",s:pears,"pearly,pears",1,6857,zk gk cet4 cet6 ky
pearl,pә:l,"n. 珍珠, 珠灰色, 杰出者, 珍贵之物 / vt. 用珍珠镶, 使成珠状 / vi. 成珠子状, 采珍珠, 用珍珠做",s:pearls/i:pearling/p:pearled/3:pearls/d:pearled,"pearled,pearler,pearling,pearls",2,45772,cet4 cet6 ky toefl
pearly,'pә:li,"a. 珍珠似的, 产珍珠的, 用珍珠装饰的, 用珠母装饰的, 珍贵的",t:pearliest,pearlies,,18418,
peasant,'peznt,"n. 农夫, 乡下人",s:peasants,"peasanthood,peasantize,peasants",2,4680,gk cet4 cet6 ky
peasantry,'pezntri,"n. 农民, 小农地位, 农民行为",s:peasantries,peasantries,1,20539,
